Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?,Cluster
0,Arizona Lutheran Academy,PHOENIX,0.0074020725803224,0.1240625624206786,0.0150470219435736,0.6477272727272727,0.1714285714285714,0.5882352941176471,0.1304347826086956,0.1690140845070422,0.0,1,1,1,1
1,Arizona Preparatory Academy,PHOENIX,0.0046412995638778,0.8094385113597982,0.1937304075235109,0.1363636363636363,0.3142857142857143,0.0588235294117647,0.7391304347826086,0.0140845070422535,0.0416666666666666,1,1,1,0
2,Arizona School For The Arts,PHOENIX,0.0330092425879246,0.019762624760681,0.090282131661442,0.7159090909090909,0.1142857142857142,0.0588235294117647,0.2065217391304347,0.0704225352112676,0.1041666666666666,1,1,0,1
3,Mesquite High School,GILBERT,0.081542831992958,0.0760291520187519,0.0357366771159874,0.6818181818181819,0.5714285714285714,0.5882352941176471,0.0760869565217391,0.0704225352112676,0.1041666666666666,1,1,1,1
4,Perry High School,GILBERT,0.081542831992958,0.0052822684810304,0.0025078369905956,0.6818181818181819,0.5714285714285714,0.5882352941176471,0.0760869565217391,0.0704225352112676,0.1041666666666666,1,1,1,1
5,San Tan Charter School,GILBERT,0.019725523146481,0.3710560681050046,0.1084639498432602,0.9090909090909092,0.2857142857142857,0.2941176470588235,0.0217391304347826,0.0704225352112676,0.0,1,1,1,1
6,Camelback High School,PHOENIX,0.085824030728604,0.0494680413572214,0.025705329153605,0.0909090909090909,0.1999999999999999,0.0588235294117647,0.8043478260869564,0.0140845070422535,0.125,1,1,1,2
7,Career Success High School - Glendale,PHOENIX,0.0018405153442964,0.9299564480530044,0.2934169278996865,0.0909090909090909,0.3142857142857143,0.0,0.8043478260869564,0.0,0.0833333333333333,1,1,0,0
8,Career Success High School - Main Campus,PHOENIX,0.0071219941583643,0.7316583119148178,0.2043887147335423,0.0568181818181818,0.2857142857142857,0.0,0.8695652173913043,0.0,0.0416666666666666,1,1,0,0
9,Career Success Jr/Sr High School - North Phoenix,PHOENIX,0.0044812547513303,0.8158512405693578,0.2394984326018809,0.3977272727272727,0.1428571428571428,0.0588235294117647,0.5108695652173912,0.0,0.0833333333333333,1,1,1,0
