Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
0,Arizona Lutheran Academy,PHOENIX,0.00740207258032249,0.12406256242067869,0.01504702194357367,0.6477272727272727,0.17142857142857143,0.5882352941176471,0.13043478260869565,0.16901408450704225,0.0,1,1,1
1,Arizona Preparatory Academy,PHOENIX,0.004641299563877885,0.8094385113597982,0.19373040752351098,0.13636363636363635,0.3142857142857143,0.058823529411764705,0.7391304347826086,0.014084507042253521,0.041666666666666664,1,1,1
2,Arizona School For The Arts,PHOENIX,0.03300924258792462,0.019762624760681084,0.09028213166144201,0.7159090909090909,0.11428571428571428,0.058823529411764705,0.20652173913043478,0.07042253521126761,0.10416666666666666,1,1,0
3,Mesquite High School,GILBERT,0.08154283199295802,0.07602915201875199,0.035736677115987464,0.6818181818181819,0.5714285714285714,0.5882352941176471,0.07608695652173914,0.07042253521126761,0.10416666666666666,1,1,1
4,Perry High School,GILBERT,0.08154283199295802,0.005282268481030486,0.0025078369905956114,0.6818181818181819,0.5714285714285714,0.5882352941176471,0.07608695652173914,0.07042253521126761,0.10416666666666666,1,1,1
5,San Tan Charter School,GILBERT,0.019725523146481013,0.37105606810500463,0.1084639498432602,0.9090909090909092,0.2857142857142857,0.29411764705882354,0.021739130434782608,0.07042253521126761,0.0,1,1,1
6,Camelback High School,PHOENIX,0.085824030728604,0.04946804135722146,0.02570532915360502,0.09090909090909091,0.19999999999999998,0.058823529411764705,0.8043478260869564,0.014084507042253521,0.125,1,1,1
7,Career Success High School - Glendale,PHOENIX,0.0018405153442964028,0.9299564480530045,0.29341692789968654,0.09090909090909091,0.3142857142857143,0.0,0.8043478260869564,0.0,0.08333333333333333,1,1,0
8,Career Success High School - Main Campus,PHOENIX,0.007121994158364341,0.7316583119148178,0.20438871473354234,0.05681818181818182,0.2857142857142857,0.0,0.8695652173913043,0.0,0.041666666666666664,1,1,0
9,Career Success Jr/Sr High School - North Phoenix,PHOENIX,0.004481254751330372,0.8158512405693578,0.2394984326018809,0.39772727272727276,0.14285714285714285,0.058823529411764705,0.5108695652173912,0.0,0.08333333333333333,1,1,1
10,Carl Hayden High School,PHOENIX,0.08406353779058136,0.053605286008550204,0.026959247648902826,0.011363636363636364,0.08571428571428572,0.0,0.9999999999999999,0.0,0.020833333333333332,1,1,1
11,Bella Vista College Prepratory School,SCOTTSDALE,0.003280918657224023,0.2522757741653564,0.03761755485893417,0.4215909090909091,0.35428571428571426,0.0,0.028260869565217388,0.06338028169014084,0.8416666666666666,1,1,1
12,Basis Scottsdale,SCOTTSDALE,0.04201176329372224,0.0006899269180555811,0.0006269592476489029,0.2715909090909091,0.05142857142857143,0.0058823529411764705,0.03260869565217391,0.8802816901408451,0.11875,1,1,1
13,Desert Edge High School,GOODYEAR,0.07117993038050653,0.24602853474185002,0.05956112852664577,0.07954545454545454,0.37142857142857144,0.7941176470588235,0.5891304347826086,0.03802816901408451,0.14583333333333331,1,1,1
14,Estrella foothills High School,GOODYEAR,0.0487336454207178,0.2293554387969952,0.05579937304075235,0.5181818181818182,0.12857142857142856,0.058823529411764705,0.43586956521739134,0.018309859154929577,0.09583333333333333,1,0,1
15,Great Hearts Academies- Archway Trivium West,GOODYEAR,0.04309206577841796,0.07656699382342473,0.05579937304075235,0.1534090909090909,0.19999999999999998,0.7647058823529411,0.5869565217391304,0.04225352112676056,0.0,0,1,1
16,Great Hearts Academies- Trivium Prep,GOODYEAR,1.0,0.24416677464875208,0.05893416927899687,0.47386363636363643,0.17428571428571427,0.3764705882352941,0.3315217391304348,0.13098591549295777,0.1708333333333333,1,1,1
17,Millenium High School,GOODYEAR,0.08782459088544792,0.13010293961161865,0.030721003134796244,0.4613636363636364,0.27714285714285714,0.08823529411764705,0.3739130434782609,0.1056338028169014,0.0,1,1,1
18,Higley High School,GILBERT,0.06653863081662865,0.10023203322902513,0.021316614420062698,0.7738636363636363,0.09714285714285714,0.03529411764705882,0.1728260869565217,0.05070422535211268,0.012499999999999999,1,1,1
19,Leading Edge Academy Gilbert Early College,GILBERT,0.002800784219581483,0.38404701631017685,0.038244514106583076,0.7386363636363636,0.08571428571428572,0.11764705882352941,0.23913043478260868,0.028169014084507043,0.020833333333333332,1,1,1
20,Learning Foundation And Performing Arts Gilbert,GILBERT,0.016364582082983234,0.5485024912004944,0.2796238244514107,0.6477272727272727,0.19999999999999998,0.0,0.20652173913043478,0.04225352112676056,0.020833333333333332,1,1,1
21,Seton Catholic Preparatory High School,CHANDLER,0.023526587444484454,0.03631160336599606,0.005015673981191223,0.8181818181818182,0.02857142857142857,0.058823529411764705,0.14130434782608695,0.04225352112676056,0.020833333333333332,1,1,1
22,Estrella High School,AVONDALE,0.01004281198735646,0.6511475309999605,0.17053291536050158,0.11931818181818182,0.5114285714285713,0.0,0.7054347826086956,0.0,0.07708333333333334,1,1,1
23,La Joya Community High School,AVONDALE,0.088784859760733,0.04297256725463534,0.022570532915360503,0.09090909090909091,0.37142857142857144,0.0,0.7717391304347826,0.014084507042253521,0.08333333333333333,1,1,1
24,Chandler High School,CHANDLER,0.12711559236586242,0.007516380592748007,0.00438871473354232,0.38636363636363635,0.2857142857142857,0.11764705882352941,0.4673913043478261,0.08450704225352113,0.041666666666666664,1,1,1
25,Chandler Online Academy,CHANDLER,0.006881926939543072,0.7383606482499704,0.20564263322884013,0.8863636363636364,0.05714285714285714,0.0,0.13043478260869565,0.056338028169014086,0.020833333333333332,1,1,0
26,Gilbert High School,GILBERT,0.09710719001320368,0.03043671596110924,0.018181818181818184,0.75,0.08571428571428572,0.058823529411764705,0.22826086956521738,0.04225352112676056,0.041666666666666664,1,1,1
27,Great Hearts Academies - Arete Prep,GILBERT,0.020645780818629215,0.43191493692605043,0.12100313479623825,0.8068181818181819,0.11428571428571428,0.058823529411764705,0.15217391304347824,0.056338028169014086,0.0625,1,1,1
28,Intelli-School - Metro Center,PHOENIX,0.004161165126235346,0.8291731683466363,0.24890282131661443,0.2840909090909091,0.17142857142857143,0.5294117647058824,0.608695652173913,0.0,0.020833333333333332,1,1,1
29,Intelli-School - Paradise Valley,PHOENIX,0.003200896250950266,0.8690148343389321,0.26520376175548593,0.42045454545454547,0.17142857142857143,0.11764705882352941,0.5326086956521738,0.0,0.0625,1,1,1
30,International Commerce High School - Phoenix,PHOENIX,0.021365982475093026,0.4194204580790376,0.11598746081504703,0.10227272727272728,0.22857142857142856,0.0,0.8369565217391304,0.0,0.0625,1,1,1
31,Kaizen Education Foundation Dba Maya High School,PHOENIX,0.014844156363781858,0.5395660427536243,0.14733542319749215,0.14772727272727273,0.39999999999999997,0.1764705882352941,0.6847826086956521,0.04225352112676056,0.020833333333333332,1,1,1
32,91st psalm Christian School,PHOENIX,0.00644180370503741,0.0,0.00438871473354232,0.33181818181818185,0.52,0.22941176470588234,0.4565217391304348,0.04507042253521127,0.03125,1,1,1
33,Buckeye Union High School,BUCKEYE,0.05581562837594527,0.44730548702899336,0.11912225705329155,0.36363636363636365,0.22857142857142856,0.058823529411764705,0.5978260869565217,0.007042253521126761,0.010416666666666666,1,1,1
34,West-Mec - Desert Edge High School,GOODYEAR,0.07362061377185611,0.39277660252448054,0.10344827586206898,0.10227272727272728,0.7714285714285714,0.23529411764705882,0.5434782608695652,0.04225352112676056,0.08333333333333333,1,1,1
35,Imagine East Mesa Middle School,MESA,0.0046813107670147635,0.021500267514239158,0.13918495297805641,0.8636363636363636,0.22857142857142856,0.11764705882352941,0.40217391304347827,0.056338028169014086,0.0625,1,0,1
36,Gilbert Classical Academy Junior,GLIBERT,0.008722442283839475,0.0018069829739143415,0.006269592476489029,0.7272727272727273,0.17142857142857143,0.0,0.29347826086956524,0.5352112676056339,0.125,1,0,1
37,Gilbert Christian Schools,GILBERT,0.030368503180890648,0.028947307886630892,0.00438871473354232,0.9659090909090909,0.34285714285714286,0.058823529411764705,0.4891304347826087,0.4084507042253521,0.125,1,1,1
38,Gilbert Classical Academy High School,GILBERT,0.011403192894010322,0.0018069829739143415,0.003761755485893417,0.7159090909090909,0.17142857142857143,0.058823529411764705,0.43478260869565216,0.7464788732394366,0.0625,1,1,1
39,Vista Peak,PHOENIX,0.0022806385788020646,0.9153106019873007,0.8275862068965518,0.7272727272727273,0.45714285714285713,0.11764705882352941,0.13043478260869565,0.0,0.0625,1,1,1
40,Vista Verde Middle School,PHOENIX,0.02596727083583403,0.05161940857591241,0.2394984326018809,0.045454545454545456,0.9142857142857143,0.1764705882352941,0.5760869565217391,0.028169014084507043,0.041666666666666664,1,0,1
41,Washington High School,PHOENIX,0.07354059136558236,0.1476034844867392,0.034482758620689655,0.19318181818181818,0.37142857142857144,0.1764705882352941,0.6195652173913043,0.08450704225352113,0.020833333333333332,1,1,1
