,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
0,Arizona Lutheran Academy,PHOENIX,192.0,3002.0,25.0,57.0,6.0,10.0,15.0,12.0,0.0,1,1,1
1,Arizona Preparatory Academy,PHOENIX,123.0,19568.0,310.0,12.0,11.0,1.0,71.0,1.0,2.0,1,1,1
2,Arizona School For The Arts,PHOENIX,832.0,481.0,145.0,63.0,4.0,1.0,22.0,5.0,5.0,1,1,0
3,Mesquite High School,GILBERT,2045.0,1841.0,58.0,60.0,20.0,10.0,10.0,5.0,5.0,1,1,1
4,Perry High School,GILBERT,2045.0,131.0,5.0,60.0,20.0,10.0,10.0,5.0,5.0,1,1,1
5,San Tan Charter School,GILBERT,500.0,8972.0,174.0,80.0,10.0,5.0,5.0,5.0,0.0,1,1,1
6,Camelback High School,PHOENIX,2152.0,1199.0,42.0,8.0,7.0,1.0,77.0,1.0,6.0,1,1,1
7,Career Success High School - Glendale,PHOENIX,53.0,22481.0,469.0,8.0,11.0,0.0,77.0,0.0,4.0,1,1,0
8,Career Success High School - Main Campus,PHOENIX,185.0,17688.0,327.0,5.0,10.0,0.0,83.0,0.0,2.0,1,1,0
9,Career Success Jr/Sr High School - North Phoenix,PHOENIX,119.0,19723.0,383.0,35.0,5.0,1.0,50.0,0.0,4.0,1,1,1
10,Carl Hayden High School,PHOENIX,2108.0,1299.0,44.0,1.0,3.0,0.0,95.0,0.0,1.0,1,1,1
11,Bella Vista College Prepratory School,SCOTTSDALE,89.0,6101.0,61.0,37.1,12.4,0.0,5.6,4.5,40.4,1,1,1
12,Basis Scottsdale,SCOTTSDALE,1057.0,20.0,2.0,23.9,1.8,0.1,6.0,62.5,5.7,1,1,1
13,Desert Edge High School,GOODYEAR,1786.0,5950.0,96.0,7.0,13.0,13.5,57.2,2.7,7.0,1,1,1
14,Estrella foothills High School,GOODYEAR,1225.0,5547.0,90.0,45.6,4.5,1.0,43.1,1.3,4.6,1,0,1
