School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
Arizona Lutheran Academy,Phoenix,85041,192,Yes,Yes,Yes,Yes,Top 20%,Christian boarding school,Yes,28,28,3002,25,12:01,NA,NA,57,6,10,15,12,0,NA,NA,NA,
Arizona Preparatory Academy,Phoenix,85037,123,Yes,Yes,Yes,Yes,NA,College Preparatory Curriculum,Yes,17,22,19568,310,150:01:00,NA,1,12,11,1,71,1,2,36.60%,36.60%,26.8,
Arizona School For The Arts,Phoenix,85004,832,Yes,Yes,Yes,No,NA,outcome based,yes,27,30,481,145,13:01,NA,NA,63,4,1,22,5,5,NA,NA,NA,
Arizona Virtual Academy,Phoenix,85004,7647,Yes,Yes,Yes,Yes,NA,outcome based,Yes,19,32,"3,635",980,NA,NA,NA,69,6,2,15,1,6,8,3,NA,
Asdb/phoenix Day school,Phoenix,85021,242,No,Yes,yes,Yes,NA,Communication,Yes,5,5,NA,1834,NA,Na,NA,16,7,6,67,2,2,44,5,51,
E-institute At Metro,"Phoenix, AZ",85051,58,Yes,N/A,N/A,N/A,N/A,N/A,N/A,8%,< 2%,20045,398,"26,1",N/A,N/A,6.89%,24.13%,6.89%,60.34%,0%,1.72%,N/A,N/A,N/A,
E-institute At Union Hills,"Phoenix, AZ",85308,78,yes,N/A,N/A,N/A,N/A,N/A,N/A,55%,N/A,813,178,"32,1",N/A,N/A,46.20%,9.00%,2.50%,37.17%,0%,5.12%,N/A,36%,N/A,
Hamilton High School,"Chandler, AZ",85248,3926,yes,N/A,N/A,N/A,N/A,N/A,N/A,52%,68.96,1548,24,21:03,N/A,N/A,44.40%,7.30%,2.10%,21.50%,19%,5.70%,8%,N/A,N/A,
Intelli-school,"Chandler, AZ",85225,70,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"26,1",N/A,N/A,31.40%,7.10%,5.70%,51.40%,0%,4.30%,N/A,74%,N/A,
Kaizen Education Foundation Dba El Dorado High School,"Chandler, AZ",85224,166,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19037,354,"25,1",N/A,N/A,0%,16.87%,0%,46.99%,30.72%,0%,54%,N/A,N/A,
Mesquite High School,"Gilbert, AZ",85233,2045,Yes,Yes,Yes,Yes,10th,Varied,Yes,80,75,1841,58,15:01,No,Minor,60,20,10,10,5,5,20,15,65,
